Country,Year,Disease Name,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%),Prevalence Category,Disease Category_Bacterial,Disease Category_Cardiovascular,Disease Category_Chronic,Disease Category_Genetic,Disease Category_Infectious,Disease Category_Metabolic,Disease Category_Neurological,Disease Category_Parasitic,Disease Category_Respiratory,Disease Category_Viral
Turkey,2006,COVID-19,19.79,7.23,9.08,36-60,0,94.92,4.96,6.8,Surgery,43965,Yes,85.53,2845,1.09,36478,0.89,41.14,Very High,False,True,False,False,False,False,False,False,False,False
Germany,2012,Hypertension,14.75,14.73,1.1,36-60,1,73.01,3.15,7.94,Therapy,24714,Yes,64.74,1396,8.83,47367,0.67,83.36,High,False,False,False,False,True,False,False,False,False,False
South Africa,2023,HIV/AIDS,4.05,2.03,4.02,36-60,1,97.3,3.54,1.2,Therapy,558,No,85.18,1482,3.72,56512,0.7,60.2,Low,False,False,False,False,False,False,False,False,False,True
Indonesia,2013,Cancer,11.68,13.43,2.89,0-18,1,57.6,0.55,0.8,Therapy,42814,No,73.97,3870,6.94,5288,0.74,89.1,High,False,False,False,False,False,False,False,False,False,False
Mexico,2006,Dengue,4.07,7.24,6.38,36-60,2,52.0,3.58,9.62,Medication,3091,Yes,66.44,174,8.26,10992,0.52,69.77,Low,False,False,False,False,False,False,False,True,False,False
China,2001,Ebola,6.51,4.61,6.37,61+,2,96.45,0.91,7.76,Medication,42319,Yes,86.63,522,9.15,40269,0.45,27.78,Medium,False,False,True,False,False,False,False,False,False,False
Indonesia,2000,Leprosy,15.11,11.55,1.14,61+,1,59.48,2.84,6.61,Surgery,48648,Yes,89.02,4716,9.44,87364,0.86,33.71,Very High,False,True,False,False,False,False,False,False,False,False
Canada,2000,Tuberculosis,11.8,9.03,6.31,36-60,2,75.26,3.72,9.19,Medication,3523,Yes,72.2,4609,3.6,76174,0.76,52.68,High,False,False,False,True,False,False,False,False,False,False
Japan,2012,Tuberculosis,12.35,4.99,6.03,61+,1,98.48,3.75,4.21,Surgery,20656,No,73.18,3143,9.07,40230,0.82,28.86,High,False,False,False,False,False,False,False,False,False,True
Germany,2002,Hypertension,9.55,13.25,2.1,61+,2,74.31,0.68,3.0,Surgery,5400,No,88.8,414,3.35,65567,0.57,56.19,Medium,True,False,False,False,False,False,False,False,False,False
Turkey,2015,Rabies,9.24,8.79,7.5,61+,1,86.56,1.47,4.87,Medication,38515,Yes,96.65,3282,5.78,38033,0.73,52.46,Medium,False,False,False,True,False,False,False,False,False,False
China,2012,Rabies,16.38,2.92,6.84,19-35,2,79.7,3.46,4.27,Medication,30303,Yes,73.77,3276,9.28,84285,0.83,32.54,Very High,False,True,False,False,False,False,False,False,False,False
Germany,2018,Rabies,13.28,10.29,2.74,36-60,1,82.36,3.46,8.27,Medication,31884,No,73.39,2090,1.93,33420,0.84,27.79,High,False,False,False,False,False,False,False,False,False,False
South Africa,2021,Rabies,3.4,12.87,4.69,19-35,2,77.0,3.81,2.05,Surgery,34096,No,73.36,1110,6.72,69170,0.7,44.28,Low,False,False,False,False,False,False,False,True,False,False
Germany,2001,Diabetes,0.22,13.25,8.1,36-60,0,57.94,4.71,9.94,Medication,39681,Yes,82.73,4980,8.32,17906,0.83,74.58,Low,False,False,False,False,False,True,False,False,False,False
USA,2006,Alzheimer's Disease,0.26,0.86,2.51,36-60,0,59.59,3.74,7.25,Therapy,3240,Yes,63.42,3762,9.68,53092,0.55,52.35,Low,False,False,False,False,False,False,True,False,False,False
Japan,2024,Diabetes,12.54,4.9,9.33,61+,0,76.79,4.23,1.94,Vaccination,13635,No,60.18,2950,2.58,81009,0.75,51.72,High,True,False,False,False,False,False,False,False,False,False
Indonesia,2021,Influenza,2.48,2.57,2.03,0-18,2,68.79,3.42,4.51,Medication,10255,No,80.03,4331,8.2,71483,0.6,50.56,Low,False,False,False,False,False,False,False,False,False,False
Mexico,2009,Cholera,2.78,3.7,3.34,19-35,1,98.0,0.95,3.92,Therapy,9623,Yes,91.3,4736,0.22,48432,0.7,70.56,Low,False,False,False,False,False,False,False,True,False,False
China,2018,Parkinson's Disease,2.3,12.5,1.53,19-35,2,76.75,3.49,6.39,Vaccination,34795,Yes,91.69,2571,0.43,5401,0.42,79.52,Low,False,False,False,True,False,False,False,False,False,False
China,2009,Hepatitis,11.51,0.98,5.52,36-60,0,73.03,0.83,4.21,Vaccination,26010,No,77.26,2600,3.61,24528,0.63,36.84,High,False,False,False,False,False,False,False,True,False,False
China,2013,HIV/AIDS,5.92,2.81,0.13,19-35,1,68.88,1.82,9.34,Therapy,44098,Yes,98.55,4115,9.87,39400,0.69,51.37,Medium,True,False,False,False,False,False,False,False,False,False
Turkey,2018,Hypertension,15.69,7.61,3.18,0-18,2,61.92,1.67,3.44,Therapy,30908,Yes,64.38,4728,8.39,67473,0.52,30.78,Very High,False,False,True,False,False,False,False,False,False,False
South Africa,2001,Influenza,10.94,2.09,4.33,0-18,2,56.36,4.36,2.73,Medication,20077,No,70.01,2756,5.63,94429,0.57,74.46,High,False,False,False,True,False,False,False,False,False,False
Brazil,2003,Polio,17.18,1.85,7.42,19-35,1,83.02,3.83,8.11,Vaccination,14042,Yes,86.98,4343,8.82,61752,0.72,80.31,Very High,False,False,False,True,False,False,False,False,False,False
USA,2012,Cholera,16.32,7.67,7.9,0-18,1,50.33,1.5,9.7,Surgery,33766,Yes,86.46,650,0.6,31740,0.7,34.8,Very High,True,False,False,False,False,False,False,False,False,False
Argentina,2017,Ebola,9.12,14.54,4.73,61+,1,63.96,0.67,2.42,Medication,20983,Yes,85.82,3917,9.21,20407,0.78,55.7,Medium,False,False,False,False,False,False,True,False,False,False
South Korea,2001,Hypertension,13.18,12.14,3.92,19-35,1,88.39,1.04,5.12,Medication,14550,Yes,62.3,3225,6.19,60560,0.61,46.36,High,False,False,False,True,False,False,False,False,False,False
Turkey,2023,Malaria,0.75,8.75,1.6,61+,2,86.48,2.01,4.94,Surgery,20928,Yes,84.66,1768,5.47,77451,0.69,39.02,Low,False,False,False,False,True,False,False,False,False,False
Nigeria,2012,Alzheimer's Disease,9.24,9.29,1.3,19-35,2,81.63,3.19,5.88,Surgery,6804,No,83.17,688,6.55,77044,0.75,45.66,Medium,False,False,False,False,False,False,False,False,True,False
Saudi Arabia,2012,Ebola,19.57,3.17,6.91,0-18,2,59.37,1.7,5.39,Surgery,33393,No,77.9,609,1.32,56074,0.53,73.25,Very High,True,False,False,False,False,False,False,False,False,False
South Africa,2018,Cancer,15.48,3.28,3.59,0-18,1,53.86,2.35,7.97,Vaccination,40992,No,97.67,1384,3.87,71203,0.89,36.89,Very High,False,False,False,False,False,False,False,False,False,False
Turkey,2004,Asthma,7.63,12.97,4.2,36-60,0,89.39,3.44,6.58,Therapy,9458,No,77.35,1123,6.48,15273,0.46,25.35,Medium,False,False,False,False,False,False,False,False,False,False
Nigeria,2015,Leprosy,3.75,13.05,5.04,61+,0,94.03,0.55,0.95,Medication,31391,Yes,83.56,3270,5.63,24069,0.63,65.24,Low,False,False,False,False,False,False,True,False,False,False
Turkey,2000,HIV/AIDS,15.25,2.38,8.78,0-18,1,65.14,4.38,9.87,Medication,46322,Yes,74.12,4389,6.7,50561,0.53,67.75,Very High,False,False,False,False,False,False,False,False,False,False
Argentina,2007,HIV/AIDS,5.84,1.77,1.57,0-18,2,61.48,2.53,0.86,Therapy,34089,Yes,51.36,394,1.15,4352,0.76,28.49,Medium,False,False,False,False,False,False,False,False,False,False
Canada,2008,Cancer,0.13,11.94,6.03,61+,0,70.66,1.82,1.17,Surgery,17710,No,71.83,1247,5.68,72539,0.74,71.88,Low,False,False,False,True,False,False,False,False,False,False
China,2017,Cancer,7.42,7.68,1.21,19-35,1,57.13,1.61,4.12,Medication,16012,Yes,85.47,1881,8.59,94030,0.48,68.33,Medium,False,False,True,False,False,False,False,False,False,False
China,2000,Alzheimer's Disease,13.79,13.93,8.41,61+,1,52.32,2.63,7.63,Therapy,33902,Yes,72.13,2896,3.69,16729,0.77,54.22,High,False,False,False,False,False,False,False,True,False,False
South Korea,2023,Alzheimer's Disease,3.36,4.9,7.98,36-60,0,90.0,2.64,4.77,Medication,3349,No,91.98,2853,7.76,31772,0.68,86.77,Low,False,False,False,False,True,False,False,False,False,False
France,2021,Parkinson's Disease,19.71,3.51,0.71,36-60,2,54.23,2.6,0.8,Surgery,12652,Yes,90.27,3487,6.17,64303,0.76,76.05,Very High,False,False,False,False,False,False,False,True,False,False
China,2000,Rabies,16.96,10.57,3.71,36-60,0,79.25,2.76,4.74,Surgery,44308,Yes,55.18,4792,6.73,44649,0.56,48.88,Very High,False,False,False,False,True,False,False,False,False,False
Canada,2011,Influenza,14.52,6.62,7.96,0-18,2,64.64,2.63,8.4,Vaccination,5547,Yes,88.85,535,2.56,70209,0.61,66.44,High,False,True,False,False,False,False,False,False,False,False
Canada,2004,Dengue,17.38,1.17,0.7,36-60,0,74.27,3.18,7.31,Therapy,24516,No,95.72,1738,1.01,95152,0.79,69.83,Very High,False,False,True,False,False,False,False,False,False,False
Argentina,2014,Leprosy,2.68,9.11,3.08,0-18,2,66.04,3.58,6.62,Surgery,24487,Yes,82.82,4667,2.68,27570,0.5,78.58,Low,False,False,False,True,False,False,False,False,False,False
Russia,2006,Alzheimer's Disease,0.22,3.72,4.92,36-60,2,95.7,1.02,9.73,Medication,12001,No,96.94,1549,0.58,78314,0.79,24.73,Low,False,False,False,False,False,False,False,False,False,False
Russia,2000,Ebola,4.77,10.94,6.6,61+,1,62.5,4.57,0.76,Medication,28215,Yes,66.01,2889,2.37,87808,0.4,76.51,Low,True,False,False,False,False,False,False,False,False,False
South Africa,2007,Ebola,6.21,4.58,0.51,36-60,0,94.44,2.09,2.08,Vaccination,4053,Yes,70.82,3483,6.99,28967,0.44,75.28,Medium,False,False,False,False,False,False,True,False,False,False
USA,2002,Leprosy,3.7,4.88,6.97,36-60,0,88.11,0.61,3.73,Medication,23619,Yes,65.45,784,5.49,93349,0.71,61.7,Low,False,False,False,True,False,False,False,False,False,False
South Africa,2000,Alzheimer's Disease,11.85,0.16,1.64,61+,1,95.29,2.67,5.01,Therapy,37422,No,84.43,3069,5.75,68467,0.7,70.67,High,False,False,False,False,False,False,False,False,True,False
Saudi Arabia,2010,Leprosy,16.46,0.96,7.35,61+,0,84.03,3.26,7.65,Therapy,2860,Yes,53.15,3193,7.39,58253,0.69,73.7,Very High,False,False,False,False,True,False,False,False,False,False
India,2016,Polio,9.85,3.17,7.53,0-18,1,71.58,0.7,5.08,Vaccination,37978,No,98.6,1337,0.63,70648,0.6,52.96,Medium,False,False,False,False,True,False,False,False,False,False
Germany,2022,Leprosy,12.75,5.26,0.12,19-35,1,56.17,3.74,3.74,Therapy,14925,No,59.29,4043,2.43,49037,0.85,30.38,High,True,False,False,False,False,False,False,False,False,False
Mexico,2016,Asthma,18.49,1.1,1.79,19-35,2,76.85,3.98,6.21,Surgery,33003,Yes,57.37,4137,8.04,81231,0.56,41.33,Very High,False,False,False,False,False,False,False,True,False,False
Saudi Arabia,2020,Alzheimer's Disease,2.07,5.04,4.89,19-35,0,52.29,1.41,4.93,Surgery,31260,No,83.75,4116,7.81,68760,0.78,37.38,Low,True,False,False,False,False,False,False,False,False,False
Nigeria,2006,Cholera,17.82,12.49,2.34,19-35,2,60.91,1.83,2.35,Vaccination,34067,No,66.13,2989,7.89,70262,0.78,53.54,Very High,False,False,False,False,False,False,True,False,False,False
Germany,2019,COVID-19,4.17,5.31,6.46,36-60,2,88.37,2.33,9.24,Therapy,24630,No,80.8,713,6.72,16047,0.5,39.95,Low,False,False,True,False,False,False,False,False,False,False
China,2023,Diabetes,0.45,10.4,5.38,19-35,2,53.01,4.68,3.53,Surgery,10321,Yes,60.19,3841,7.42,51400,0.68,24.5,Low,False,False,False,False,False,True,False,False,False,False
USA,2000,Influenza,15.28,8.77,3.15,61+,1,84.39,1.71,5.01,Vaccination,21721,Yes,50.96,259,9.43,2990,0.45,51.3,Very High,False,False,False,False,True,False,False,False,False,False
Russia,2020,Hepatitis,6.84,6.7,6.44,0-18,0,74.28,2.94,5.37,Vaccination,43458,Yes,94.56,3457,4.82,66878,0.62,21.68,Medium,False,True,False,False,False,False,False,False,False,False
Australia,2004,Polio,19.12,1.17,3.52,19-35,1,72.56,3.73,4.59,Vaccination,5081,No,59.59,4980,5.67,57799,0.87,31.04,Very High,False,False,True,False,False,False,False,False,False,False
Brazil,2007,Hypertension,10.46,14.96,1.87,19-35,0,72.92,4.98,5.34,Vaccination,48724,No,65.24,3945,3.82,37833,0.51,30.68,High,False,False,False,False,False,False,False,True,False,False
Argentina,2021,Tuberculosis,4.31,7.14,9.62,19-35,0,86.15,3.31,4.84,Vaccination,2467,Yes,62.03,4362,9.05,17339,0.83,22.09,Low,False,False,False,False,False,True,False,False,False,False
Germany,2010,Malaria,10.59,3.96,3.1,61+,2,86.51,1.68,9.76,Surgery,38428,Yes,61.94,2476,0.27,32618,0.88,45.85,High,False,False,False,False,False,False,False,False,True,False
UK,2023,COVID-19,8.81,13.28,8.94,0-18,2,67.34,3.69,9.8,Vaccination,26419,No,74.95,3383,6.66,32003,0.88,48.43,Medium,False,True,False,False,False,False,False,False,False,False
Indonesia,2014,Cancer,19.48,11.11,1.0,61+,0,81.68,3.53,3.41,Vaccination,48075,No,52.34,1029,6.08,66580,0.44,59.71,Very High,False,False,False,False,False,False,False,True,False,False
Mexico,2019,Rabies,2.58,0.24,1.83,36-60,2,80.05,1.62,6.7,Therapy,39283,Yes,66.24,266,1.54,81215,0.62,85.33,Low,False,False,True,False,False,False,False,False,False,False
Russia,2020,HIV/AIDS,18.05,11.63,1.87,61+,2,69.86,2.97,3.65,Therapy,19025,Yes,57.74,1584,7.48,20662,0.79,47.86,Very High,False,False,True,False,False,False,False,False,False,False
South Korea,2000,Alzheimer's Disease,3.96,5.55,0.62,36-60,1,80.67,1.09,3.0,Therapy,42062,Yes,67.77,800,5.45,91647,0.45,31.22,Low,False,False,False,True,False,False,False,False,False,False
Argentina,2014,Asthma,12.73,8.53,3.42,0-18,0,55.57,1.27,3.96,Medication,39981,Yes,50.41,4447,4.42,78847,0.79,54.25,High,False,False,False,False,False,False,True,False,False,False
Indonesia,2020,Hepatitis,2.17,10.63,6.56,19-35,0,72.7,4.62,0.63,Therapy,27784,No,52.03,2795,9.1,22328,0.45,41.75,Low,False,False,False,False,False,False,False,False,False,True
USA,2022,Alzheimer's Disease,5.37,4.1,4.51,0-18,2,62.99,2.76,5.61,Medication,21516,No,53.72,1129,8.01,6492,0.56,57.64,Medium,False,False,False,False,False,False,False,True,False,False
Russia,2016,Cholera,9.35,0.77,0.42,61+,2,92.8,1.12,9.18,Medication,8791,Yes,91.04,3009,6.19,16280,0.87,46.61,Medium,False,False,False,False,False,False,False,False,False,False
Japan,2003,Zika,8.85,10.11,5.56,61+,1,74.09,4.95,4.28,Vaccination,3231,No,67.02,2578,4.26,54291,0.63,45.8,Medium,False,True,False,False,False,False,False,False,False,False
Indonesia,2014,HIV/AIDS,17.06,7.34,4.27,19-35,2,59.41,2.98,9.36,Therapy,2686,No,88.9,1120,9.08,95456,0.45,82.71,Very High,False,True,False,False,False,False,False,False,False,False
Germany,2006,Tuberculosis,8.05,4.49,1.77,0-18,1,55.44,2.63,8.71,Medication,24762,No,82.97,4025,0.53,34412,0.62,46.66,Medium,False,False,False,False,False,False,False,False,True,False
Argentina,2012,Asthma,11.98,4.51,4.14,36-60,2,57.95,2.77,5.79,Medication,19311,Yes,67.21,3782,6.26,73903,0.46,46.82,High,False,False,False,False,False,False,True,False,False,False
USA,2020,Influenza,18.27,11.01,3.3,19-35,2,86.94,4.81,4.73,Therapy,30409,No,95.14,4073,2.64,21491,0.76,79.27,Very High,False,False,False,False,False,False,False,False,False,False
South Africa,2013,Influenza,18.85,12.06,3.21,36-60,0,50.72,0.78,3.46,Surgery,2662,No,82.72,3295,0.73,51404,0.79,77.31,Very High,False,False,False,False,False,False,False,True,False,False
Argentina,2001,Hypertension,11.45,7.26,2.82,0-18,1,93.07,2.36,6.96,Therapy,32875,No,86.52,3643,8.23,96849,0.47,56.95,High,False,False,False,False,False,True,False,False,False,False
Japan,2014,Measles,13.87,11.05,3.19,36-60,2,93.78,2.73,3.58,Therapy,6980,No,64.28,3491,3.32,45059,0.71,32.07,High,False,False,False,False,False,False,False,False,False,True
Russia,2008,Parkinson's Disease,0.64,8.98,6.55,36-60,0,80.45,2.14,6.82,Therapy,2946,No,92.62,2525,0.1,60305,0.4,75.25,Low,True,False,False,False,False,False,False,False,False,False
Brazil,2013,Cholera,13.8,9.14,4.4,19-35,2,53.37,3.8,3.55,Vaccination,23450,Yes,61.7,2490,9.18,94127,0.55,34.84,High,False,False,False,False,True,False,False,False,False,False
Indonesia,2000,Rabies,1.22,13.78,3.9,0-18,1,56.9,3.04,3.53,Therapy,45214,Yes,97.84,4746,3.3,24147,0.73,79.39,Low,True,False,False,False,False,False,False,False,False,False
France,2011,Dengue,0.46,3.4,0.31,19-35,0,70.69,2.58,2.59,Medication,39024,Yes,56.18,663,4.78,6488,0.58,79.08,Low,False,False,False,False,False,False,False,False,True,False
UK,2015,COVID-19,17.28,0.27,5.01,19-35,1,70.32,3.57,2.7,Therapy,9006,Yes,53.35,2953,4.04,52513,0.78,33.88,Very High,False,False,False,False,True,False,False,False,False,False
Turkey,2002,HIV/AIDS,18.51,0.34,0.35,0-18,0,72.6,2.93,4.0,Therapy,10384,Yes,56.07,2698,8.86,25499,0.51,59.68,Very High,False,False,False,False,False,True,False,False,False,False
USA,2013,Ebola,13.76,13.48,9.18,61+,0,56.96,3.27,5.96,Vaccination,30471,No,78.52,4318,9.34,60015,0.77,53.76,High,False,False,False,False,False,False,True,False,False,False
Nigeria,2016,Malaria,16.15,2.18,1.33,0-18,2,82.43,0.98,5.72,Medication,28852,No,71.84,2947,8.03,88813,0.46,74.04,Very High,False,False,False,False,False,False,False,True,False,False
Argentina,2011,Cancer,14.88,2.32,8.18,61+,2,67.77,1.76,5.62,Medication,45845,Yes,71.18,4580,9.79,77994,0.44,55.34,High,False,False,False,False,False,False,False,True,False,False
Japan,2010,Dengue,0.79,10.18,1.0,36-60,1,62.47,1.7,8.49,Vaccination,26771,No,73.06,1523,1.55,32712,0.73,67.04,Low,False,False,False,False,False,False,False,True,False,False
Australia,2022,Alzheimer's Disease,11.69,2.93,0.22,19-35,0,79.32,3.88,5.54,Vaccination,43221,Yes,66.09,532,6.12,35162,0.46,31.86,High,False,False,False,False,False,False,False,True,False,False
Canada,2019,Tuberculosis,14.64,14.91,9.81,61+,2,56.71,2.4,8.67,Therapy,13709,No,85.96,2835,9.67,27869,0.53,36.78,High,False,False,False,False,False,False,True,False,False,False
Brazil,2016,Rabies,0.9,3.83,6.04,36-60,1,75.79,3.88,3.42,Therapy,21042,No,58.14,3815,0.83,88702,0.74,44.26,Low,False,False,False,False,False,False,True,False,False,False
Nigeria,2023,Tuberculosis,6.72,1.65,6.53,61+,0,51.66,1.54,4.44,Therapy,45185,Yes,53.55,2334,9.73,27892,0.46,84.48,Medium,False,False,False,False,False,False,False,False,True,False
Argentina,2018,COVID-19,4.34,6.04,8.5,36-60,2,99.85,3.72,6.2,Medication,47732,No,68.42,3487,6.65,86802,0.75,59.46,Low,False,False,False,False,False,False,False,False,True,False
Canada,2003,Diabetes,14.93,8.93,2.66,36-60,2,56.81,3.11,6.85,Therapy,14602,No,79.5,719,0.61,56582,0.89,41.86,High,False,False,False,False,False,False,False,False,False,False
Nigeria,2013,Polio,11.2,12.33,2.84,36-60,2,76.0,2.15,7.98,Medication,24961,No,92.56,50,0.81,12194,0.55,81.81,High,False,False,False,True,False,False,False,False,False,False
Saudi Arabia,2013,Hepatitis,11.53,10.37,4.92,36-60,2,85.47,4.59,0.64,Vaccination,43227,No,75.85,994,3.96,64912,0.64,36.2,High,False,False,False,False,False,False,True,False,False,False
UK,2015,Malaria,10.18,11.83,2.66,0-18,0,59.11,3.56,0.75,Medication,2133,No,50.86,4123,9.7,49319,0.53,73.24,High,False,False,False,False,True,False,False,False,False,False
South Korea,2007,Polio,2.7,4.52,9.17,19-35,2,70.39,4.44,2.19,Therapy,17848,No,83.23,3669,3.5,64885,0.5,40.31,Low,False,False,False,False,False,False,False,False,True,False
Mexico,2004,Rabies,11.79,3.99,0.18,19-35,2,99.2,3.05,0.89,Vaccination,22217,Yes,75.17,3245,4.58,32359,0.62,43.15,High,False,False,False,False,False,False,False,False,False,False
Mexico,2003,Asthma,17.73,8.84,1.18,19-35,1,96.9,0.59,1.01,Vaccination,21579,Yes,86.07,1508,5.01,80166,0.55,72.61,Very High,False,False,False,False,True,False,False,False,False,False
Indonesia,2021,Cholera,4.84,1.03,7.41,19-35,1,55.81,4.18,9.27,Vaccination,9546,Yes,83.64,2731,8.13,73882,0.57,27.86,Low,False,False,False,False,False,False,False,False,False,True
Russia,2008,Rabies,1.42,6.87,2.96,0-18,0,79.68,2.06,3.67,Vaccination,47012,No,77.54,2281,0.08,8752,0.86,77.92,Low,False,False,False,False,False,False,False,False,False,True
Japan,2001,Hepatitis,1.98,14.12,4.22,0-18,1,88.25,3.24,3.98,Vaccination,6000,No,83.72,4904,6.51,66184,0.71,84.01,Low,False,False,False,False,False,False,False,True,False,False
UK,2021,HIV/AIDS,18.53,9.86,1.7,19-35,2,92.99,1.68,0.96,Surgery,20734,No,73.08,339,0.31,38082,0.43,88.45,Very High,False,False,False,False,False,False,True,False,False,False
Indonesia,2019,Zika,17.42,10.43,7.13,0-18,2,90.44,0.89,7.47,Surgery,32754,No,57.83,1023,1.86,45996,0.57,86.39,Very High,False,False,False,False,False,False,False,False,True,False
Russia,2017,Rabies,1.71,6.25,3.29,0-18,2,77.1,2.02,3.27,Surgery,13401,Yes,54.89,1664,6.67,84563,0.81,89.99,Low,False,False,True,False,False,False,False,False,False,False
Indonesia,2010,Alzheimer's Disease,17.15,0.74,5.43,0-18,1,85.51,2.62,5.94,Therapy,30525,No,81.61,2874,4.16,25218,0.84,74.83,Very High,False,False,False,False,False,False,True,False,False,False
Turkey,2004,Dengue,10.78,10.07,3.49,19-35,1,73.04,0.62,4.24,Medication,23066,No,94.31,3949,6.7,32631,0.47,79.18,High,False,False,False,True,False,False,False,False,False,False
Nigeria,2006,COVID-19,17.4,2.23,8.42,19-35,1,89.25,3.83,9.31,Vaccination,47507,Yes,64.99,2801,2.2,52215,0.83,79.83,Very High,False,False,False,False,False,False,False,False,False,True
China,2004,Cancer,10.02,11.76,1.53,36-60,2,64.2,2.54,8.45,Therapy,24329,No,67.31,4694,0.52,2676,0.46,88.56,High,False,False,False,False,False,True,False,False,False,False
France,2022,Tuberculosis,14.83,12.15,3.79,36-60,0,65.12,2.33,4.1,Surgery,22428,Yes,67.29,3214,4.15,7669,0.61,40.36,High,False,False,False,False,False,False,False,False,False,True
Argentina,2020,Ebola,18.26,4.0,4.94,19-35,0,82.83,1.27,3.6,Therapy,47323,No,61.7,1072,1.92,15433,0.54,22.56,Very High,False,False,False,False,False,False,False,False,False,False
Germany,2017,Malaria,11.53,4.49,8.37,61+,0,54.56,3.17,9.22,Medication,9101,Yes,78.17,4793,9.79,85500,0.85,57.7,High,False,False,False,False,False,True,False,False,False,False
China,2012,HIV/AIDS,17.88,14.16,2.12,0-18,2,63.56,4.59,4.85,Therapy,15233,No,81.39,2524,9.74,60736,0.56,63.75,Very High,False,False,False,False,False,False,False,True,False,False
Italy,2001,Rabies,14.83,11.29,1.54,19-35,0,95.19,1.11,5.17,Therapy,2847,Yes,65.58,4495,5.04,46739,0.41,23.65,High,False,False,False,False,False,False,False,False,False,False
France,2000,Asthma,19.62,5.45,5.12,36-60,2,83.01,2.6,2.66,Surgery,7132,No,56.67,3462,8.94,48107,0.64,75.34,Very High,False,False,False,True,False,False,False,False,False,False
Argentina,2012,HIV/AIDS,15.28,11.8,9.98,36-60,2,56.55,1.32,7.02,Surgery,47232,Yes,64.25,544,8.79,26622,0.62,48.26,Very High,True,False,False,False,False,False,False,False,False,False
Mexico,2007,Measles,2.79,1.81,0.52,19-35,1,58.96,4.03,4.21,Therapy,21571,No,86.66,3805,5.25,55003,0.65,26.67,Low,False,True,False,False,False,False,False,False,False,False
Japan,2007,COVID-19,13.22,1.18,3.94,19-35,1,51.31,1.1,7.01,Therapy,1710,Yes,95.13,2332,3.77,26273,0.9,44.37,High,False,False,False,False,False,False,False,True,False,False
South Korea,2022,HIV/AIDS,12.57,13.18,4.37,36-60,0,94.05,2.36,8.83,Medication,42923,Yes,90.11,4903,5.89,41575,0.49,62.74,High,False,False,True,False,False,False,False,False,False,False
India,2001,HIV/AIDS,4.21,0.45,7.61,19-35,2,62.69,1.52,0.75,Therapy,7525,No,67.63,992,5.79,25258,0.55,70.47,Low,True,False,False,False,False,False,False,False,False,False
Germany,2002,HIV/AIDS,10.15,12.18,2.31,0-18,2,62.21,0.57,6.21,Therapy,49257,Yes,70.41,1947,0.98,92235,0.83,45.14,High,False,False,False,False,False,False,False,False,False,False
Canada,2018,Diabetes,18.3,6.76,7.18,19-35,2,60.27,3.65,1.82,Therapy,8451,Yes,84.15,2858,0.27,38781,0.73,72.68,Very High,False,False,False,False,False,False,False,True,False,False
South Korea,2024,Parkinson's Disease,15.51,8.43,5.58,0-18,2,52.64,1.3,4.71,Surgery,8350,No,80.62,3674,1.86,60604,0.49,21.35,Very High,False,False,False,False,False,False,False,False,False,False
Canada,2010,Leprosy,19.9,5.34,4.17,19-35,1,91.49,1.07,6.65,Medication,21540,Yes,88.33,1232,1.13,93255,0.77,62.42,Very High,False,False,False,False,True,False,False,False,False,False
UK,2024,Malaria,14.36,4.15,5.49,0-18,0,76.82,3.12,6.39,Medication,13168,Yes,70.79,3052,6.0,45328,0.56,55.54,High,False,False,False,False,False,True,False,False,False,False
Turkey,2022,Parkinson's Disease,8.33,0.66,3.44,36-60,0,83.05,3.83,1.02,Vaccination,19924,No,65.08,613,8.33,46123,0.76,25.46,Medium,False,False,True,False,False,False,False,False,False,False
Mexico,2020,Hepatitis,3.54,6.03,0.35,61+,1,52.92,4.62,6.15,Surgery,18020,Yes,83.78,3312,7.37,70240,0.83,21.67,Low,False,False,False,True,False,False,False,False,False,False
Germany,2014,Alzheimer's Disease,8.05,10.25,8.34,61+,2,73.03,3.83,4.68,Therapy,23086,No,96.82,168,2.73,61760,0.84,40.23,Medium,False,False,True,False,False,False,False,False,False,False
UK,2017,COVID-19,15.64,5.51,4.1,36-60,2,75.8,0.97,2.35,Medication,9540,Yes,53.2,2549,3.09,51343,0.78,31.94,Very High,False,False,False,False,False,True,False,False,False,False
Saudi Arabia,2012,Diabetes,5.46,14.25,9.91,61+,1,86.12,3.5,4.7,Surgery,15006,Yes,87.76,2670,8.61,36013,0.5,30.72,Medium,False,False,False,False,False,False,False,False,False,False
Indonesia,2016,Malaria,0.72,8.74,5.26,19-35,0,79.9,1.77,7.26,Vaccination,277,No,57.7,432,4.73,98237,0.77,39.16,Low,False,False,False,False,False,False,True,False,False,False
France,2014,Dengue,11.91,7.69,3.2,19-35,0,66.21,3.59,0.8,Therapy,39331,No,55.47,323,8.96,29163,0.76,38.22,High,False,False,False,False,True,False,False,False,False,False
Mexico,2004,Influenza,4.97,7.04,8.37,36-60,1,76.75,2.16,8.29,Therapy,33987,Yes,74.91,3128,0.75,55709,0.54,47.43,Low,False,False,True,False,False,False,False,False,False,False
